	step6	version 6 - top sim	version 6 - cnt
815	sergio munoz sarmiento	54	4
816	arvaijozsa kitty	53	4
817	nemeth tamas	67	11
818	karin maria pfeifer	56	2
819	nemere reka	64	36
820	hartmut bohm	56	6
821	szonyei tamas	71	9
822	francois laquieze	50	1
823	birgit jurgenssen	52	3
824	anke mellin	64	2
825	kalman gabor	75	2
826	majoros gyulasamira sinai	59	2
827	camille juthier	52	4
828	meszaros agnes	76	2
829	kinszki imre	70	1
830	piotr bozyk	47	2
831	morvay zsofia	69	2
832	kaplar krisztina	65	10
833	jana gregorova	62	2
834	verena seibt	52	2
835	von yodi	53	2
836	toth balazs zoltan	62	10
837	maczko erzsebet	71	4
838	gyukics gabor	67	12
839	yang maolin	64	2
840	wechter akos	61	21
841	musee national porcelain adrien dobouche	49	2
842	alicja gaskon	56	1
843	zahonyi eniko	64	1
844	schuller gabriella	69	1
845	demeter helga	59	2
846	permanent residents	61	2
847	baditz gyula	52	10
848	beszelgetes aekkel	50	1
849	tillman jozsef	62	2
850	rippl renata	64	4
851	rineke dijkstra	58	6
852	kiss antal	57	2
853	sonja hochenberger	52	1
854	mark vennegoor	52	2
855	on collaboration	52	2
856	syovenzi aniko	59	2
857	rakoczy anna	69	4
858	tarskuratorok pinczehelyi sandor	49	2
859	bolcso balint	67	23
860	koch judit	67	6
861	botka ildiko	62	6
862	mader barnabas keramikusmuvesz	55	1
863	murka istvan	83	4
864	asztalos zs	57	2
865	muladi brigitta	54	219
866	ernyey gyula designtortenesz	47	2
867	james prosek	58	4
868	puklus peter	70	84
869	csoka helena	78	15
870	tamas kende	61	2
871	chto delat nikola d 3/4 afo	45	2
872	dominic gagnon	52	5
873	sergej andreevski	57	4
874	jason lescalleet	52	2
875	vlagyimir jankilevszkij	49	2
876	birgit richard	52	2
877	miskolc megyei jogu varos	46	2
878	nicola trezzi	50	5
879	nagy tibor	67	9
880	der rechte weg	59	2
881	monostori pal	67	2
882	csonto lajos	55	160
883	jeges erno	55	2
884	nyiri barbara	54	6
885	eugene atget	54	2
886	kiss gergo	72	2
887	barta judit	73	2
888	katherine haskell	71	2
889	vojnich erzsebet	65	43
890	damien bonneau	55	2
891	simon vera	64	4
892	kovacs ingrid	67	2
893	ernst muzeum	50	5
894	iparmuveszek szovetsege erem szakosztaly	47	2
895	tetsuya umeda	52	2
896	hanna yamasaki	56	2
897	karhut tamas	70	2
898	barbara sturm	54	6
899	daniela krajcova	69	8
900	mortensen associates	48	2
901	vlad nanca	55	6
902	janisch attila	71	2
903	aliza binnoun izrael allam	49	2
904	korosztos gergo	72	1
905	dusan barok	53	2
906	bachmann balint marko balazs	59	2
907	malene landgreen	60	2
908	majerszky robert	69	4
909	yumiko ono	60	2
910	margarita dorovska	62	2
911	schuller vladimir	71	2
912	ujszaszy laszlo szima miskolci teruleti csoportjanak	47	2
913	galambos adam asztali beszelgetesek kulturalis alapitvany	46	2
914	kadar anna	74	2
915	enyedi zsuzsanna	71	21
916	vaczi eszter quartet	50	2
917	szolo akos	67	1
918	gombos ilona	64	2
919	czako margit	61	2
920	dancs bettina	54	1
921	luzsicza fanni	50	4
922	carles congost	54	3
923	miros3aw ba3ka	69	2
924	papageorgiu andrea	53	22
925	miklossy endre	59	2
926	makovecz imre	62	7
927	berta ibanez	57	2
928	almir mavignier	52	2
929	wagner viktoria	69	1
930	yuan goangming	57	2
931	piringer patricia ludwig muzeum pr	47	2
932	farkas otto	52	2
933	donko laszlo	69	2
934	volkan mengi	52	4
935	takacs andras	77	2
936	giorgio bertellini	56	2
937	bacskai julia szabadszomuves	49	2
938	merenyi david	57	12
939	george cringasu	50	6
940	kis peter	76	1
941	puszi egyuttes	48	4
942	elte szociologia	55	2
943	smohay andras	72	1
944	nicolas vass	80	2
945	kovacs imrich	83	2
946	sarosi anita	73	22
947	kiserleti popperformance csoport	55	6
948	lados david	82	2
949	angyal julia	55	7
950	nemeth anna	60	2
951	magyar fotomuveszek szovetsegenek	62	4
952	kuglerart galeria	57	2
